Price,Close,High,Low,Open,Volume
Ticker,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L
2020-01-02,7649.69140625,7659.677948555809,7554.81925434481,7584.778881262238,1704325
2020-01-03,7689.63818359375,7689.63818359375,7570.7183503917595,7614.739110376928,1090818
2020-01-06,7612.740234375,7669.663518299882,7535.843868371212,7658.678323156483,1348181
2020-01-07,7634.7119140625,7654.684999514593,7552.822263708919,7597.761705976128,1308820
2020-01-08,7615.73779296875,7658.679928439201,7568.801040245235,7606.749904149354,1256533
2020-01-09,7670.66357421875,7705.616474244483,7628.72009418787,7631.716057047219,1406067
2020-01-10,7634.7119140625,7706.615021690034,7597.761705976128,7679.651356329709,1020795
2020-01-13,7639.70458984375,7705.615766697304,7586.775917521956,7629.718047896242,1481130
2020-01-14,7680.64990234375,7693.632407704622,7570.797933905599,7647.6943118123045,1511807
2020-01-15,7825.45458984375,7828.2208815812155,7693.594196067104,7696.628193456582,1744555
2020-01-16,7696.62744140625,7817.464592101742,7680.648975198581,7812.471321411846,1575748
2020-01-17,7867.39794921875,7937.303744654814,7681.648264202923,7728.585012567138,2203482
2020-01-20,7826.453125,7935.306435019778,7810.22499391907,7895.360266205181,527323
2020-01-21,7813.470703125,7813.470703125,7637.707558473927,7787.505693119728,1869225
2020-01-22,7690.63671875,7848.5030923305185,7677.654212926892,7797.492728217114,1173417
2020-01-23,7646.6953125,7701.621294240564,7610.743760815267,7664.671088342367,1234444
2020-01-24,7648.69287109375,7764.536763644589,7627.721131925064,7627.721131925064,2206787
2020-01-27,7489.90673828125,7586.776198763021,7441.9713351562505,7539.839449869792,2135815
2020-01-28,7640.70361328125,7641.7022675242615,7490.90547682952,7499.893365016624,1403196
2020-01-29,7683.646484375,7719.1084658937825,7615.737989322037,7644.698965153448,1226501
2020-01-30,7504.88720703125,7673.659786936544,7468.935651548466,7618.733799393401,1625025
2020-01-31,7414.00927734375,7510.878741231458,7386.04695787101,7484.913730292485,1580057
2020-02-03,7445.9658203125,7510.87834422885,7406.019651748591,7409.015614390884,1513944
2020-02-04,7524.8603515625,7564.953299508921,7472.930326574942,7502.889956375457,1592695
