Price,Close,High,Low,Open,Volume
Ticker,BP.L,BP.L,BP.L,BP.L,BP.L
2020-01-02,479.4331359863281,482.34451489008825,473.70007890630404,473.70007890630404,25049010
2020-01-03,492.5942687988281,493.4916412896701,483.70455465425016,484.7674231771581,42354025
2020-01-06,502.6145935058594,506.9318210689517,492.64406013112557,498.5266687366879,47220192
2020-01-07,497.3302307128906,504.0105007574943,497.1806787863275,503.5119740505136,46243068
2020-01-08,492.843505859375,500.44007455941824,490.9491103987646,500.0223028368692,37974090
2020-01-09,490.60015869140625,495.5854261526649,488.3179017871144,491.8464755567209,34183235
2020-01-10,493.7906494140625,498.02812596128064,492.34490995042137,496.53254600343894,37061310
2020-01-13,495.6352233886719,498.02814532874476,491.79656192873546,494.7378814646012,36032723
2020-01-14,494.4388122558594,496.6871727108138,491.79662663216584,494.33910082281,35181698
2020-01-15,493.7409362792969,498.2336411315245,492.793723223938,495.3860685717507,43772276
2020-01-16,496.3830261230469,500.6205029436946,493.7208802381428,495.03699798860447,35327489
2020-01-17,494.9372863769531,498.4269731690939,492.9711122250405,495.7847878262896,39732046
2020-01-20,492.04583740234375,498.6263957206111,490.64996877183955,498.12786903631286,45101558
2020-01-21,488.9051818847656,490.7497369153947,485.5650466283818,490.55031404756437,38216582
2020-01-22,479.08416748046875,490.2511779361954,478.78506362604895,489.55322837234166,33169974
2020-01-23,480.7292785644531,481.7263319392327,474.3481430513945,478.5856198942078,37661510
2020-01-24,484.6676940917969,488.15738120971895,482.1251895064309,485.5650361223026,31085412
2020-01-27,475.54461669921875,481.27767357318226,473.3012466181026,479.4829592516969,39427588
2020-01-28,480.3305358886719,481.4273008522058,475.9933469674043,477.8877425802399,26093707
2020-01-29,476.49188232421875,483.0874122048796,476.39217088434293,480.8290713237126,34009086
2020-01-30,465.7236022949219,471.7557625860037,462.62874495844846,470.6091573770773,35934538
2020-01-31,455.35430908203125,469.86142417187244,452.6124121770495,469.2133455344079,43566411
2020-02-03,451.36602783203125,458.9934792676109,451.36602783203125,457.6474512665907,44600994
2020-02-04,470.1605224609375,472.90241933346005,462.83220425286515,467.6180484411151,65869448
2020-02-05,482.8730163574219,483.7703888838888,464.7266602195957,466.2222405268283,65155193
2020-02-06,473.600341796875,488.50630156764856,473.600341796875,487.06056203741775,38847936
2020-02-07,468.6151123046875,472.6033260264295,464.47734665391135,472.6033260264295,49500009
2020-02-10,463.23101806640625,469.2133384966371,462.58293943866227,467.6678874622343,41008815
2020-02-11,468.3160095214844,474.9464087635672,467.41863708990803,468.06674616330343,28570777
2020-02-12,473.2015380859375,476.6413539747335,464.57204233830805,471.2074313349876,41400821
2020-02-13,458.67352294921875,468.69561922980915,455.08350786428605,464.95602652318837,36758980
2020-02-14,455.5821838378906,466.0530448784702,455.5821838378906,461.31622678868416,26586551
2020-02-17,459.72064208984375,463.1112003917816,457.5766148130953,460.16940543206647,19270109
2020-02-18,456.2302551269531,460.2191535324347,448.75107061667524,457.52663493558276,40009436
2020-02-19,461.515625,463.16107026535724,456.67910906910504,461.715082133039,35014591
2020-02-20,464.9061584472656,468.2657964678064,460.917259723335,465.7039260188989,31502740
2020-02-21,452.291259765625,461.3161617450021,450.8951512436375,458.52391426814376,47553079
2020-02-24,437.03375244140625,444.7123952906556,434.14579342279313,441.82041913127296,45302395
2020-02-25,427.51031494140625,460.01982143308277,425.5657142672058,440.17505256027573,37704379
2020-02-26,427.2110900878906,429.10581108518727,420.5297023150145,424.36899337550307,33684707
2020-02-27,413.0006103515625,427.2110625651168,405.42169641775695,417.1889663350265,55665519
2020-02-28,395.0506286621094,401.23343506836284,384.1808835969498,397.4938417822147,98822262
2020-03-02,410.1086730957031,413.8482658594937,395.10045297684366,413.49923111496315,106087217
2020-03-03,413.7984924316406,424.91754419512205,408.78342615739865,417.8372411816006,59586142
