Price,Close,High,Low,Open,Volume
Ticker,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L
2020-01-02,4338.6376953125,4352.610763574376,4326.161741507253,4340.633847921339,1598368
2020-01-03,4348.61767578125,4351.611904155669,4299.212907603336,4305.700402414577,1628391
2020-01-06,4316.18212890625,4335.145583744779,4286.7388700780075,4324.166741469841,1473368
2020-01-07,4279.25146484375,4337.13988116117,4271.26685569652,4316.679320221392,2330297
2020-01-08,4231.84375,4255.298544369104,4206.891841096698,4231.84375,2217486
2020-01-09,4272.76416015625,4291.228569631347,4246.81417927233,4256.295903056839,1790053
2020-01-10,4296.21923828125,4315.182687120219,4260.288493112676,4291.228857007837,4136430
2020-01-13,4334.64501953125,4339.3561537158175,4261.406303536088,4323.167143011653,2500492
2020-01-14,4311.1904296875,4349.117327784068,4301.708705163358,4339.635603259926,2035666
2020-01-15,4343.62744140625,4357.600507624009,4309.692852020264,4318.675537445965,2554128
2020-01-16,4345.62451171875,4358.100466334387,4309.19472424109,4339.137015318619,2473486
2020-01-17,4391.53662109375,4395.029888860529,4321.172227505771,4341.632795854049,2600646
2020-01-20,4392.03564453125,4412.995251061225,4375.068344006984,4411.498136309084,946610
2020-01-21,4404.5107421875,4408.004009261522,4352.11173607718,4386.04633051053,2486578
2020-01-22,4378.56103515625,4417.111734947203,4370.077386011316,4406.008135331039,2321673
2020-01-23,4360.09619140625,4401.017318531729,4346.123123607305,4401.017318531729,2341404
2020-01-24,4465.3935546875,4476.87143262199,4393.033019883109,4410.499355870376,2483219
2020-01-27,4419.97998046875,4480.862622177815,4394.529040082174,4455.910719838034,3423813
2020-01-28,4491.841796875,4508.809091741543,4441.438950359682,4446.928369287093,2812570
2020-01-29,4429.46337890625,4502.821999534824,4399.02204653657,4491.843158352316,3273622
2020-01-30,4518.7900390625,4530.766953577961,4451.419894913031,4468.387190476601,2925898
2020-01-31,4524.779296875,4569.193696061266,4504.3187309577315,4569.193696061266,2301385
2020-02-03,4571.189453125,4593.147131720797,4521.7846762844565,4539.750049681018,2524482
2020-02-04,4584.6640625,4618.099622768586,4551.727540444378,4597.639056037063,1820691
2020-02-05,4627.08203125,4630.575298529848,4545.239769264991,4561.2089911157245,1857313
2020-02-06,4686.46728515625,4694.45189558778,4605.124066385036,4632.072126591451,2266475
2020-02-07,4686.966796875,4700.939866542004,4659.020657540992,4682.974491255856,1923589
2020-02-10,4676.4873046875,4694.951719400277,4645.546934087711,4692.456528222875,1341138
2020-02-11,4678.982421875,4718.905480082125,4664.011275047328,4684.47184237848,1457138
2020-02-12,4652.533203125,4700.251294951831,4644.548591814263,4689.961068644079,1662940
2020-02-13,4603.12841796875,4720.901434733779,4563.205361438232,4635.5659013997965,2052967
2020-02-14,4596.64013671875,4616.601661576936,4581.169954953656,4614.106470969662,1547946
2020-02-17,4621.0927734375,4637.840277525055,4603.127401964093,4621.0927734375,1203600
2020-02-18,4624.087890625,4653.03210578324,4600.633095582978,4611.112897623031,1784156
2020-02-19,4616.10302734375,4647.542431746199,4599.13572972973,4620.095332664696,2224360
