Price,Close,High,Low,Open,Volume
Ticker,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L
Date,,,,,
2020-01-02,2251.44189453125,2262.9161164621646,2228.5562977579516,2231.486725955746,4710773
2020-01-03,2293.34765625,2298.416346814079,2265.909300562867,2269.401454923048,4984931
2020-01-06,2303.823974609375,2333.3477311677207,2302.327337120456,2312.8037995428895,7332363
2020-01-07,2285.36572265625,2314.3806162423843,2281.374688868594,2313.3029591698387,5726726
2020-01-08,2270.39892578125,2296.83951973124,2261.419101420876,2295.8417614689765,7149697
2020-01-09,2255.433349609375,2277.4539504525037,2255.433349609375,2267.406452991508,5807827
2020-01-10,2258.42578125,2278.0019148870206,2254.9426403551247,2276.385429609841,4224987
2020-01-13,2262.916015625,2278.002239320644,2246.842020872619,2268.9025659308863,4332597
2020-01-14,2251.94091796875,2272.893846314937,2246.9521255053724,2263.914019880857,5532678
2020-01-15,2257.42822265625,2266.90692679558,2244.4573643603244,2256.929343491022,14203230
2020-01-16,2249.9453125,2313.801853519956,2240.965486419069,2256.4307424473395,6051089
2020-01-17,2243.459228515625,2256.5499325331934,2237.971558621546,2248.448019328424,5150891
2020-01-20,2236.974365234375,2259.9228087671095,2230.488935540341,2253.936258280309,7900903
2020-01-21,2200.056884765625,2228.9918732727465,2194.070335419324,2228.9918732727465,8752805
2020-01-22,2181.598388671875,2209.036740233035,2177.1084765982305,2201.054674324334,8325457
2020-01-23,2167.630615234375,2186.0891498174988,2157.6530289732273,2173.1182876780063,6611475
2020-01-24,2182.097900390625,2203.5497087392296,2175.6124699596517,2182.097900390625,9559521
2020-01-27,2139.692626953125,2168.1287378732295,2135.202714702582,2159.148913372144,9821366
2020-01-28,2144.182861328125,2153.162687178266,2131.2120017668103,2146.178378183712,10836401
2020-01-29,2126.223388671875,2147.0455077712886,2124.8295473133326,2145.1808003963074,7226189
2020-01-30,2033.4315185546875,2098.935231208655,2028.4427268016093,2072.3440942286975,14535464
2020-01-31,1989.92919921875,2040.4157453808193,1979.5524884281397,2039.4179870701196,11227503
2020-02-03,1959.9967041015625,2036.7453015347207,1957.2029317505949,1984.940665104187,20366499
2020-02-04,1990.927001953125,2028.1073846765373,1972.9673519597961,1987.135471569198,13450739
2020-02-05,2019.9619140625,2037.4226863500248,1974.563906114936,1982.3464704817625,23192404
2020-02-06,2004.995361328125,2046.4023319651578,2000.5054488494106,2037.9213861720307,17248595
2020-02-07,1992.1240234375,2005.494007849159,1974.5635032504904,2001.0040958912878,22171720
2020-02-10,1969.9742431640625,1999.5078679521228,1965.1849540431092,1998.510109534981,42511561
2020-02-11,1982.14697265625,2002.002390774075,1975.9609187969047,1983.7433618654338,25094962
2020-02-12,2003.498779296875,2070.4314109024062,1974.733449733753,1998.0111083376455,8947851
2020-02-13,1937.19970703125,2025.816764985716,1927.8191751311529,1972.7264433204914,23250549
2020-02-14,1920.0350341796875,1969.5927293062784,1918.2386948796698,1943.586375100054,8535993
2020-02-17,1929.416015625,2029.3635667840524,1923.0291792492087,1923.0291792492087,16762161
2020-02-18,1910.255126953125,2005.7189974374544,1897.8807785934537,1923.4279972019244,10934310
2020-02-19,1924.2264404296875,2015.5159557241018,1910.8541517449228,1926.621519027428,7267170
2020-02-20,1922.829345703125,1934.8046163921988,1917.8396495826776,1934.4054163388123,6611660
2020-02-21,1883.9100341796875,1908.4593188752206,1867.1446036555913,1904.0683611837883,14241031
2020-02-24,1818.0452880859375,1839.999945713496,1796.3639916739567,1834.4113899533204,22174973
2020-02-25,1777.13037109375,1895.4550068713777,1773.1386138557305,1824.2330577748737,17046062
2020-02-26,1777.7288818359375,1787.1493692339038,1751.9820022322833,1761.7618549359963,42684959
2020-02-27,1728.031494140625,1768.0878136918766,1702.4842749875627,1747.3915389819592,16827295
2020-02-28,1657.9759521484375,1706.4069377425278,1627.2393808642048,1665.7598036007892,40172123
2020-03-02,1712.463623046875,1749.5939770895284,1662.1674642999308,1725.4368323123815,16513249
2020-03-03,1720.0479736328125,1778.9263861889724,1710.467781716238,1741.004696746022,14222631
2020-03-04,1733.8194580078125,1762.3604925839861,1709.469719023991,1724.6383449778518,14031889
2020-03-05,1686.5174560546875,1731.624264731721,1681.9269595321377,1731.4247255946052,13252513
2020-03-06,1595.904296875,1676.9370318365109,1595.904296875,1662.1674831622151,19390840
2020-03-09,1315.0843505859375,1397.3144447177738,1231.2574562498405,1286.3436523717749,48419857
2020-03-10,1363.583984375,1490.32224763717,1330.2527947123829,1372.365775194838,35337726
2020-03-11,1331.05126953125,1417.0735744049553,1315.8825215590502,1406.0962438990014,34904546
2020-03-12,1124.6776123046875,1301.9116109625074,1124.6776123046875,1294.127757367008,33047804
2020-03-13,1128.2698974609375,1283.3496545785815,1092.9428297285422,1212.895180020674,51491741
2020-03-16,1048.43505859375,1117.4925348267009,1031.270550471011,1113.5007774196667,31519014
2020-03-17,1077.774658203125,1103.5215459877143,982.9704058611835,1096.7355086715133,34751944
2020-03-18,968.7992553710938,1033.6653570622327,956.4248472137308,1026.879322529876,30796382
2020-03-19,1018.4968872070312,1061.208740574192,944.1504048319348,953.3314591326156,32261882
2020-03-20,1060.010986328125,1124.278296191388,1048.0357157381538,1101.126155111611,37025839
2020-03-23,1125.07666015625,1142.6403654270116,1021.690124171116,1033.8649943950952,33312190
2020-03-24,1354.403076171875,1354.403076171875,1190.741042217043,1208.903609320356,28496183
2020-03-25,1453.9976806640625,1520.859619308189,1310.6936096651818,1403.3023112929473,30353658
2020-03-26,1411.2855224609375,1436.0344625513783,1353.0059725128763,1392.1251391655128,33743349
2020-03-27,1280.1566162109375,1369.5719554631148,1253.2122544070298,1358.993822970519,22096184
2020-03-30,1322.46875,1369.5715451708763,1229.0616814261566,1251.4155399971885,19895698
2020-03-31,1416.0758056640625,1416.0758056640625,1245.22865359545,1356.5986503114093,17444061
2020-04-01,1418.27099609375,1461.3820381804032,1361.987328471398,1362.1868675633264,26572686
2020-04-02,1538.4229736328125,1604.2869577193285,1466.9705546542198,1466.9705546542198,22903681
2020-04-03,1467.96875,1536.8265635622026,1447.8104243223397,1523.8533523113529,16795190
2020-04-06,1475.7528076171875,1527.4459945411293,1449.8063836713316,1501.3000314462756,11454370
2020-04-07,1526.8472900390625,1551.3965750445632,1491.121010603449,1529.8411082548255,13925360
2020-04-08,1489.7236328125,1514.472450989546,1469.1659885781955,1497.5074852007965,9686818
2020-04-09,1506.48876953125,1550.5977487500454,1484.5341103727378,1524.2521333960844,25090136
2020-04-14,1442.02197265625,1521.4469354875773,1429.8471645903835,1516.8674037629758,11656270
2020-04-15,1343.2265625,1432.4423778648716,1329.8541488810422,1428.2509588876414,18512285
2020-04-16,1295.524658203125,1368.7734219665892,1277.5617520833043,1361.7878473644366,12633283
2020-04-17,1367.3763427734375,1367.9752037920853,1320.8723970277572,1332.4484682277266,10421588
2020-04-20,1340.232421875,1397.196821716945,1328.4566899173221,1366.578042618126,16440498
2020-04-21,1307.30029296875,1325.4627368611234,1282.1522749918108,1306.1028147103223,13106162
2020-04-22,1382.3455810546875,1394.5424419662543,1290.5351580544261,1320.0742611703974,13568518
2020-04-23,1420.865966796875,1434.9878062365183,1382.145874790055,1392.125267387817,8977709
2020-04-24,1376.3575439453125,1425.2565593462461,1369.3719703166078,1401.1064821002185,51929188
2020-04-27,1395.7178955078125,1403.1026707703566,1360.3819267774031,1391.3269381772109,7008902
2020-04-28,1429.84716796875,1438.2297588175209,1376.7567356203654,1405.6969690500111,8996554
2020-04-29,1482.738037109375,1494.314106880254,1426.8534447353104,1437.032375333089,14939624
2020-04-30,1322.2694091796875,1455.9932588627653,1286.1440597092205,1452.0015021558079,22880059
2020-05-01,1229.0621337890625,1290.3356369694648,1203.514909655974,1290.3356369694648,7655272
2020-05-04,1262.792236328125,1452.201015639943,1222.076269908082,1277.3621236876888,17844798
2020-05-05,1332.847900390625,1373.1646783932526,1299.3700287023146,1313.6875117452078,31786849
2020-05-06,1283.1497802734375,1330.451982768139,1279.5571030754625,1327.2586272796093,17836986
2020-05-07,1317.8787841796875,1335.8416938826877,1285.1464440343761,1290.3356803321763,9687516
2020-05-11,1311.092529296875,1340.4318434180232,1297.7201200650868,1332.2487909576173,19620371
2020-05-12,1308.89697265625,1337.3093675599987,1293.528685289979,1307.3002943703862,11078476
2020-05-13,1262.792236328125,1381.8862614695709,1252.8278284424514,1303.1090027207667,8940535
2020-05-14,1201.6390380859375,1259.5253040402436,1170.30058697897,1234.9735673292605,14564371
2020-05-15,1225.592041015625,1245.7523825344801,1199.0442247539515,1227.9873592730503,13583883
2020-05-18,1327.3922119140625,1327.3922119140625,1262.5315996384486,1263.118459392031,11872835
2020-05-19,1306.6328125,1352.1434954155682,1292.859945264774,1343.959501249089,28019923
2020-05-20,1341.5643310546875,1344.1593306080224,1279.8855775866537,1293.059647150049,18058058
2020-05-21,1301.6427001953125,1344.159268373406,1295.6544648835763,1334.37843529852,39600967
2020-05-22,1290.0653076171875,1313.8186867698066,1256.1319784454136,1280.8833966913203,10985207
2020-05-26,1303.0396728515625,1348.9494661052515,1299.6463159405384,1334.1785622439272,20874306
2020-05-27,1323.5994873046875,1344.7579906279504,1299.8462283585582,1320.2062516202063,15280711
2020-05-28,1315.0162353515625,1344.1121439632852,1312.0221181846277,1329.7872621074832,8322464
2020-05-29,1256.7308349609375,1312.8207076652604,1253.337599353463,1303.2395562980832,23837299
2020-06-01,1288.2691650390625,1299.447156361397,1267.1106589797585,1290.0655626635619,5847225
2020-06-02,1331.9832763671875,1336.574232956615,1295.6546200912856,1297.451139632397,23581797
2020-06-03,1390.46826171875,1399.0514969023566,1348.351053272671,1350.9459310075206,9987015
2020-06-04,1386.4759521484375,1408.2332545658182,1368.5112472709145,1394.2607063277449,5806914
2020-06-05,1474.3037109375,1480.092388024945,1398.253159556944,1404.8401950430507,14895419
2020-06-08,1500.6517333984375,1551.5517331629999,1477.0980323833808,1477.0980323833808,10705340
2020-06-09,1434.9808349609375,1519.814168407472,1427.9945604418112,1514.6242913804026,9873388
2020-06-10,1410.229248046875,1459.5324039442146,1398.0611387728507,1440.5696610476182,8855570
2020-06-11,1325.9951171875,1373.1026497782868,1297.4512148274914,1356.5350983395508,12277679
2020-06-12,1347.75244140625,1374.499824451524,1295.0559119128122,1308.0304242214029,7237041
2020-06-15,1332.1827392578125,1366.9144294423425,1296.8521281036383,1317.4117107383645,7755374
2020-06-16,1373.5013427734375,1400.2488390369554,1316.5892359505401,1370.3076664274695,9417257
2020-06-17,1358.3316650390625,1394.0615253867384,1349.1497510099875,1378.4920128046765,12590478
2020-06-18,1359.1297607421875,1368.511231270445,1336.1748603337387,1348.5504483065765,6859392
2020-06-19,1373.1024169921875,1391.2666821879386,1363.1220247239814,1368.5113390840445,15089292
2020-06-22,1355.53662109375,1366.3154918215046,1339.9672359110593,1357.5326992410423,9794867
2020-06-23,1387.074951171875,1411.2274514674348,1353.9399761010798,1361.5250497767215,19355771
2020-06-24,1322.2025146484375,1401.0476194245305,1322.2025146484375,1382.8832310484186,9106819
2020-06-25,1326.992919921875,1341.3647090276488,1294.8561058338046,1310.6250523800481,7970945
2020-06-26,1317.212158203125,1352.7423286370238,1314.6171588709392,1341.9634567630417,6712002
2020-06-29,1337.1729736328125,1343.9595671182974,1301.2435623054387,1314.617190168084,10014804
2020-06-30,1284.47607421875,1346.7537264258433,1274.2961260925083,1330.1863049240935,13394643
2020-07-01,1302.0416259765625,1319.008288597923,1260.9224688265788,1301.4428269561122,9710747
2020-07-02,1309.626953125,1320.8050649530362,1290.2650906476556,1305.4352373338324,7484167
2020-07-03,1296.453125,1310.42567600077,1282.0813338901557,1306.8327586810528,4575117
2020-07-06,1318.4097900390625,1347.3529269892008,1314.816873266616,1321.6034667632464,10246679
2020-07-07,1293.858154296875,1318.6094554826827,1290.8640364398925,1312.2221015192274,7745140
2020-07-08,1276.2926025390625,1309.3267016883178,1271.1027254994526,1281.4823577477132,7321280
2020-07-09,1228.7857666015625,1288.4685571768364,1226.9893692098794,1287.8697580462754,8585456
2020-07-10,1243.9561767578125,1248.9463731329395,1203.236125604391,1209.424042208128,6495291
2020-07-13,1276.6917724609375,1280.8836104508637,1251.3416727256538,1267.509860002752,7354115
2020-07-14,1307.0322265625,1309.4275452187278,1267.9091352243277,1268.7074935557584,9137063
2020-07-15,1321.80322265625,1343.2749555142964,1306.2338345388089,1318.8091048709357,7823365
2020-07-16,1320.00634765625,1334.777373483687,1299.4467687684955,1319.4075486266904,5171681
2020-07-17,1300.644775390625,1315.2162467290934,1294.0577403344648,1305.0361727050552,8632684
2020-07-20,1270.3045654296875,1294.0578294597897,1263.9170890624998,1288.868073441375,9016538
2020-07-21,1307.431396484375,1307.431396484375,1267.5098271260733,1274.6956608781832,12321871
2020-07-22,1260.3238525390625,1313.8187251352092,1260.1241716160077,1300.4449765284357,12407968
2020-07-23,1249.1458740234375,1286.2730064221848,1246.7505555088474,1262.5196240515193,16724452
2020-07-24,1240.1634521484375,1258.1281572645355,1236.1712954559712,1236.1712954559712,5411239
2020-07-27,1227.9874267578125,1253.1379652655714,1227.9874267578125,1239.1654167988265,6553025
2020-07-28,1225.991455078125,1251.7407949658436,1225.991455078125,1234.1753283026244,11570837
2020-07-29,1224.39453125,1235.7720805905014,1212.6176200349732,1227.3886488303333,17037026
2020-07-30,1156.52783203125,1244.7543966683347,1137.9642061151944,1231.380769334853,10011325
2020-07-31,1119.4005126953125,1184.506597282644,1119.4005126953125,1163.7134684501673,9418257
2020-08-03,1141.158203125,1144.1523211381855,1104.6299877303304,1131.5770498490008,10152647
2020-08-04,1180.6802978515625,1182.077577008109,1151.3379228878782,1151.7371629084557,16756823
2020-08-05,1196.24951171875,1207.9445501733364,1183.8738038489319,1194.2534337342934,54425312
2020-08-06,1173.49462890625,1188.664777161993,1153.932961640994,1179.6824236821794,10598123
2020-08-07,1152.335693359375,1171.2984325216698,1150.7388554803133,1167.7055168360507,5301459
2020-08-10,1172.49658203125,1186.4691317981756,1078.6009696256926,1168.5044249549856,5264504
